,genre,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_mean_21,mfcc_mean_22,mfcc_mean_23,mfcc_mean_24,mfcc_mean_25,mfcc_mean_26,mfcc_mean_27,mfcc_mean_28,mfcc_mean_29,mfcc_mean_30,mfcc_mean_31,mfcc_mean_32,mfcc_mean_33,mfcc_mean_34,mfcc_mean_35,mfcc_mean_36,mfcc_mean_37,mfcc_mean_38,mfcc_mean_39,mfcc_mean_40,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12,mfcc_var_13,mfcc_var_14,mfcc_var_15,mfcc_var_16,mfcc_var_17,mfcc_var_18,mfcc_var_19,mfcc_var_20,mfcc_var_21,mfcc_var_22,mfcc_var_23,mfcc_var_24,mfcc_var_25,mfcc_var_26,mfcc_var_27,mfcc_var_28,mfcc_var_29,mfcc_var_30,mfcc_var_31,mfcc_var_32,mfcc_var_33,mfcc_var_34,mfcc_var_35,mfcc_var_36,mfcc_var_37,mfcc_var_38,mfcc_var_39,mfcc_var_40
0,blues,-113.59882,121.57067,-19.162262,42.363937,-6.362266,18.621933,-13.699734,15.339802,-12.274304,10.970945,-8.326061,8.802088,-3.6699412,5.7446756,-5.162783,0.7517065,-1.687854,-0.4087299,-2.302677,1.2224671,-3.5328746,-1.1397806,-4.282828,-4.2260838,0.91518754,0.9140638,-5.761807,-3.9328036,1.5094346,2.6984653,5.656073,-3.269008,-0.20606375,-2.9996982,4.476317,-0.47685498,6.006285,-0.059690394,-3.4585848,-1.8418324,2569.3694,295.8471,235.58444,151.03874,167.99287,89.17242,67.60309,69.001495,82.21985,63.346542,61.76499,51.28075,41.215897,40.517525,49.78423,52.424534,36.535866,41.603172,55.053654,46.94135,37.975147,31.488348,38.06576,42.761257,62.437626,54.03871,54.862373,49.142673,60.650375,96.92506,84.23686,88.48893,58.868004,54.758743,62.76238,53.350407,49.452766,54.96941,57.764965,51.205795
1,blues,-207.52383,123.98514,8.947019,35.86715,2.909594,21.519472,-8.556512,23.370676,-10.103608,11.899242,-5.558824,5.3778763,-2.234492,4.220704,-6.010687,0.92929417,-0.72840273,0.2968724,-0.2824305,0.53064454,-4.098785,-1.2431856,-2.8513567,-4.3501954,3.2750847,1.2195734,-0.0137655875,-0.06660827,3.9790337,-0.45776725,0.8360187,-3.7432172,-4.0997047,-2.4519057,5.834808,3.5449877,4.89732,-0.41559693,-1.9954146,-0.4652179,7769.1045,559.91345,572.3363,264.7167,279.97607,156.3668,200.80203,142.56712,166.11464,104.35725,105.15637,96.20453,64.87307,73.15043,52.429462,55.337963,60.231403,48.133217,51.106014,45.7887,42.831177,45.852238,39.53435,70.40752,61.689137,60.668655,55.576843,83.73834,76.618744,93.99603,71.31184,53.42342,54.979107,61.619576,80.0337,76.457634,69.583435,63.76409,57.982594,59.006977
2,blues,-90.757164,140.44087,-29.084547,31.686691,-13.976547,25.753752,-13.664991,11.634442,-11.778322,9.714756,-13.125314,5.7912464,-8.901966,-1.0801601,-9.226244,2.4483047,-7.7248397,-1.819024,-3.4404576,-2.2381277,-4.0523376,-0.5714226,-2.0118372,-5.386336,-5.1335306,-7.805535,-1.1687835,-0.20596685,1.3964348,-3.0018802,-1.3764814,-4.7496324,-0.37751576,0.49346924,0.44727054,-4.162672,-4.815749,-6.7032337,-4.425334,-0.98151916,3317.887,508.85614,412.0644,143.95421,155.66135,74.391716,106.84102,106.520256,65.48224,67.84235,57.67196,64.49476,60.390575,57.690224,36.514374,40.641678,47.629646,52.393597,46.6434,30.65315,43.534817,59.22657,49.701614,52.377884,61.7434,39.243927,50.80623,53.739944,59.712727,54.104553,51.41871,63.25329,49.15634,47.376923,53.664093,51.670414,43.662724,41.399483,45.72517,45.995106
3,blues,-199.57513,150.0861,5.663404,26.855278,1.7700715,14.232647,-4.8278456,9.286853,-0.75612015,8.134435,-3.200026,6.078081,-2.478445,-1.0815871,-2.874454,0.773994,-3.3240693,0.6363107,-0.6159676,-3.405046,-1.4968088,-0.054011628,-1.8613145,-4.709931,-3.9263315,-6.64948,-2.8977785,-3.2251306,-0.27231476,-3.8175535,-2.8219495,-4.2044272,-2.7023358,-3.8456037,-2.52441,-4.9356093,-5.954977,-6.616996,-6.396002,-1.5011888,5508.2666,456.30908,257.10977,158.36113,267.97372,126.80741,155.94673,81.2703,92.301796,71.381836,110.269356,48.21452,56.776222,62.243004,51.609818,44.432903,50.218452,37.325726,37.257774,31.965258,34.790207,31.204569,28.416183,22.890345,23.459158,28.052565,27.928999,26.410456,26.438545,25.622776,42.04399,32.058304,21.731821,24.385027,25.799437,19.443823,19.96813,24.114965,27.11369,21.612556
4,blues,-160.35417,126.209496,-35.581394,22.139256,-32.47355,10.850701,-23.35007,0.49324897,-11.796538,1.2035191,-13.084959,-2.8104997,-6.9344716,-7.5538754,-9.167669,-4.515863,-5.451786,-0.91595227,-4.408018,-11.704385,-5.866304,-0.72143203,0.95571446,-1.2184657,4.58054,0.30164954,-1.2800438,-4.4865327,-0.41062197,0.27926436,8.481702,3.646146,-3.0076735,-6.110804,-6.9519696,-4.0705533,-1.1372156,-0.4916049,-4.786619,-3.2211275,5199.1035,853.27124,334.0323,193.75323,336.4254,134.86504,93.29354,124.73352,129.9754,99.71714,80.24316,86.4365,89.548325,70.91569,75.75422,85.99519,75.27674,53.633236,62.882492,55.190254,67.47997,61.050777,54.035244,47.16298,70.38027,81.35364,72.931496,44.61972,58.191414,81.26497,83.96016,73.61256,52.456776,50.959976,50.12278,44.700737,34.133488,52.58036,63.28406,49.0332
5,blues,-177.80174,118.20316,-17.57063,30.760927,-21.742554,11.919263,-20.734299,3.1852882,-8.580818,-0.9328851,-11.772245,-2.408764,-9.348446,-9.942636,-3.9021835,-5.574562,-1.8393143,-2.7893167,-3.0478048,-8.109732,-2.4683325,-1.7097129,-4.2748,-4.638067,-2.3258955,0.92919034,4.380316,5.193404,5.6919427,2.533288,2.618916,-4.3523993,-6.8065543,-2.9144077,-1.0607132,1.9090173,1.0149453,-3.1143417,-5.300716,-5.259621,7307.454,3195.2058,654.1079,485.68982,433.27664,266.4076,169.70601,133.70337,172.22574,100.12101,76.55476,78.802635,80.10772,47.534428,60.0207,72.57674,68.66611,42.470524,39.803383,46.282936,57.508163,64.25533,60.671257,96.03127,194.6022,180.36156,200.43335,129.42712,113.915855,120.11308,99.11997,67.514465,66.11976,66.73411,45.341545,69.29687,48.16328,41.324116,52.064117,59.471836
6,blues,-190.0688,130.27023,-36.36211,33.036213,11.093891,-0.591882,-20.890266,0.27844238,-6.496385,-5.5127354,-7.847404,-3.1243007,-6.6028214,-9.949999,-6.5426884,-10.072228,-10.918623,-6.9652433,-3.4394317,-6.484499,-7.109118,-7.1270666,-5.2788844,-4.594155,-3.2485366,-2.902407,1.4326024,2.9310665,2.11799,-1.4838631,-0.6356672,2.9653616,2.6103673,1.7908589,-1.9822514,-5.1708612,-2.3732464,0.14038274,3.7044878,5.2581644,9653.348,1933.7037,1307.0305,480.19315,1082.9683,280.1115,151.6834,102.85332,131.09851,153.40236,87.5064,64.21006,79.14686,63.03844,86.344986,83.25455,56.950497,38.267097,48.163647,70.213455,79.30743,110.79459,125.783325,83.216576,68.38008,105.903,153.44116,146.37706,160.48096,179.32036,125.31859,106.809,100.42752,87.70547,73.72091,57.216526,56.648033,65.31052,109.35379,133.57257
7,blues,-179.3723,136.44833,-26.662588,39.96545,5.3108945,10.919135,-20.559534,8.503361,-11.349764,-3.4705548,-8.415842,-6.957211,-3.5460427,-8.051759,-8.964918,-8.427482,-10.5642805,-10.785659,-4.6954694,-8.631641,-11.013335,-10.376792,-1.8437742,-1.4459481,-3.1292248,-1.1877847,-3.6127698,-3.2484033,-0.63257986,0.8964797,4.022117,2.7066686,-0.16680872,-2.527765,-3.4568138,-2.8802347,0.73777616,-1.9461105,-4.875629,-3.2393322,6573.5034,1479.0458,591.20874,353.40616,650.0896,136.288,163.69316,151.28441,171.91978,178.22743,147.56088,83.71853,93.2653,57.423862,82.259476,70.46944,52.018356,60.507183,65.58108,56.38694,55.86815,65.3253,52.288773,97.48863,53.921345,41.081806,38.477486,39.059986,50.208687,79.671844,89.589325,67.98947,73.79401,93.76074,76.25966,47.568478,42.838585,40.18745,49.55015,63.682816
8,blues,-121.38979,122.49833,-14.734729,46.12214,-8.179258,20.172466,-19.171894,23.036839,-11.832729,21.154655,-6.7227974,6.989506,-12.730549,5.0585384,-5.1858068,-1.4536041,-7.042629,2.694213,3.4095309,-2.7137442,-4.271836,-0.6242572,-4.291122,-13.373034,-8.269029,-2.0969207,10.555008,2.9229867,-1.035578,-0.75153357,-0.5030914,-1.4110123,-1.8862722,-1.8116941,2.366849,-4.3018703,-3.8826878,-5.0936933,0.50897497,1.1860472,2619.6743,414.5375,341.22403,193.91731,177.07607,106.9469,57.659283,77.1547,42.568737,58.8517,48.918488,56.535206,61.94805,50.547115,33.02635,50.578175,28.908443,36.896122,33.671597,36.34232,22.76274,26.815392,29.065983,50.24578,42.48768,39.008114,76.31443,50.130177,40.790237,41.346436,59.301342,53.05009,34.343647,42.468758,40.537907,29.177717,30.579935,20.92422,26.978668,31.352503
9,blues,-213.26424,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.182701,9.017152,-14.10431,4.271254,-6.050781,3.7858353,0.22263563,-5.106882,-0.41015312,-1.1793449,-1.9147079,-2.2936609,2.8842604,-4.233879,1.59439,2.4687598,-0.8987777,1.8610442,5.0366416,0.77003556,5.6383834,0.44044867,-0.90267456,-2.202855,-1.8906778,-3.4581234,-0.970141,1.5458179,3.1887379,4.5513167,1.9031553,-0.6868153,-2.7414927,-0.059063055,6132.9727,798.2638,669.0846,350.93396,531.99756,278.2447,126.45182,67.96417,110.09561,92.602684,84.85938,104.41364,76.34565,85.42631,103.98576,59.323414,58.461433,83.12304,77.04226,91.44654,137.27013,84.29572,79.48734,91.906525,114.696175,109.21447,101.31999,73.06298,81.38553,75.72223,72.474075,48.70334,51.567406,88.04001,105.725006,80.742035,55.72734,49.7051,66.30241,98.362564
